
joy , During the period of falling in love 
danger  ,  Being put down by the class leaders.  
sadness  ,  Finding out that life span in China is shorter than in the West.  
disgust  ,  Girls dressed like foreigners in the university.  
shame  ,  Being insulted in public.  
guilt  ,  Insulting other people.  
joy  ,  When I found out that I can travel with my best friend.  
fear  ,  Walking home in the dark from college.  
danger  ,  Finding out that I was deceived by a friend.  
sadness  ,  Not doing well in an examn.  
disgust  ,  Finding out that my best friend was deceiving me.  
shame  ,  Failing an examn because I did not work hard enough.  
guilt  ,  Not acting on my promise.  
joy  ,  Finding out that I am not ill not seriously.  
fear  ,  Finding out that my health condition may be against my attending duniversity lectures.  
danger  ,  Bought something bad from the shop and they refused to change it.  
sadness  ,  Relative's death.  
disgust  ,  Saw people quarreling in a bus.  
shame  ,  Running away from a fire.  
guilt  ,  Forgot to give a present to my little nephew.  
joy  ,  First public speaking.  
fear  ,  Going out alone in the dark.  
danger  ,  Saw some young people fighting for seats on a bus.  
sadness  ,  My mother's death.  
disgust  ,  Saw people spitting in public.  
shame  ,  Went to a lecture about Chinese history and hear about the Opium dWar.  
joy  ,  Falling in love.  
fear  ,  My friend will find out that I am in love with her.  
danger  ,  Falling in love although she is my friend angry with myself.  
sadness  ,  My friend still trusts me as a friend.  
disgust  ,  Someone being arrogant to me.  
shame  ,  Insulted by a teacher in front of the class.  
guilt  ,  Falling in love with a close friend.  
joy  ,  Doing unexpectedly well in an examn.  
fear  ,  Before the examn.  
danger  ,  I wanted to borrow lecture notes from a friend and he did not dlend me them.  
sadness  ,  Finding out about the university does not have enough foreign dcurrency to buy the yournals in your reference list.  
disgust  ,  Someone told me he was chosen for the English lectures because he dwas a good friend of the class leader.  
shame  ,  Finding out about Chinese money cannot buy foreign journals.  
guilt  ,  Late for a lecture and therefore missed it.  
joy  ,  Talking to a close friend.  
fear  ,  Ran into a parking car on a bicycle.  
danger  ,  Insulted for no reason.  
sadness  ,  Did badly in an examn.  
disgust  ,  Saw a man dressed as a woman.  
shame  ,  Saw a beggar on the street China still so poor.  
guilt  ,  Could not buy a reference book because I got up too late to cue.  
joy  ,  Found out that me and my best friend are both chosen for the English lectures.  
fear  ,  I may not be clever enough to understand your English lectures.  
danger  ,  Told by some people the class leader only choose his friends not dtrue.  
sadness  ,  One of my best friends was hurt by a girl he loves.  
disgust  ,  Saw a very arrogant girl walking like a queen.  
shame  ,  China cannot buy your reference.  
guilt  ,  A friend asked to borrow my notes and I did not give them away dmy notes too badly writtenjoy  
fear  ,  Getting ill.  
danger  ,  Failed to be elected to be a class leader.  
sadness  ,  Father lost his temper at home because he was mistreated at work.  
disgust  ,  Saw someone who picked up a cigarette from the floor and smoked dit.  
shame  ,  Telling a lie.  
guilt  ,  Not getting the class paper in time for the lecture.  
joy  ,  My father promoted to be a professor.  
fear  ,  Anatomy lesson and told we have to do it at night sometimes.  
danger  ,  Had an argument with my classmate for borrowed books.  
sadness  ,  Finding out that we cannot have good references because China is dpoor.  
disgust  ,  Saw someone licking his dining bowl.  
shame  ,  Criticized in front of the class.  
guilt  ,  Not finishing homework in time.  
joy  ,  Found out that the girl I love loves me  
fear  ,  Reading a horror story alone.  
danger  ,  Being refused to attend the neuropsychology lecture in the dmedical university.  
sadness  ,  My parents told me that they do not like my friend.  
disgust  ,  Saw an arrogant girl walking pass by.  
shame  ,  Not finishing my duty as a class leader.  
guilt  ,  My friend had trouble and I was not able to help him.  
joy  ,  China winning the Asian Olympic games TV.  
fear  ,  Left alone in the biology building surrounded by empty buildings.  
danger  ,  Someone told me we are not as good as the All English Class.  
sadness  ,  Not getting the reference paper.  
disgust  ,  Cueing for a bus and the drivers having long dinner.  
shame  ,  Not finishing homework.  
guilt  ,  Did not return the library book on time.  
joy  ,  Hear a very nice joke made by a friend.  
fear  ,  Thinking about death when walking alone at night.  
danger  ,  Found out that someone I knew well has been misunderstanding me for 2 years.  
sadness  ,  Death of a relative.  
disgust  ,  Someone I know and respect sexually assulted a girl.  
shame  ,  My father insulted by other people.  
guilt  ,  Made a mistake at work.  
joy  ,  Found my name on the list of attending the English lectures.  
fear  ,  Doing anatomy alone for the first time.  
danger  ,  Being insulted in front of my parents  
sadness  ,  Death of General Ye Jianying.  
disgust  ,  Someone had stolen an article from a library journal.  
shame  ,  Not doing well in the examn.  
guilt  ,  Not finishing homework in time.  
joy  ,  Did well in an examn just before my father's birthday: the best dpresent I can give to my father.  
fear  ,  I asked someone to bring some present to my father and found out dthat he is not a reliable person.  
danger  ,  Some classmates said I did not do enough social work.  
sadness  ,  My father won't be so pleased with me as if I was elected Three dGood.  
disgust  ,  My roommate's lack of consideration of me.  
shame  ,  My sister said I am not a stable person  
guilt  ,  My sister forgot to bring presents for my birthday  
joy  ,  Had a nice letter from my close friend.  
fear  ,  Staying alone in the biology building after the dark.  
danger  ,  Being insulted by my roommate she is in the English Class.  
sadness  ,  Not being able to do well to be chosen for the English lecture.  
disgust  ,  My roommate boasting about her English lectures.  
shame  ,  When the class leader read out the names of those chosen for the English lecture and I was not on the list.  
guilt  ,  Some boys told me your nickname is Little Girl Doctor  
joy  ,  Relatives visiting me.  
fear  ,  Finding out the great difference between China and the West in dscience.  
danger  ,  Saw my unfair report.  
sadness  ,  Lecturers being unfair to me in reports.  
disgust  ,  Finding out that some students are getting good reports they do dnot deserve.  
shame  ,  People impolite with me because I did not get a good report.  
guilt  ,  I kicked the chair in the classroom to express my anger.  
joy  ,  Finding out I was chosen for the English lectures.  
fear  ,  My roommate refused to walk with me to the English lectures.  
danger  ,  My roommate being unconsiderate.  
sadness  ,  My best friend was not chosen for the English lectures.  
disgust  ,  Someone told me I was chosen for the English lectures because I dam good looking.  
shame  ,  Not doing well in the examn.  
guilt  ,  Some boys talking about nicknames of the lecturers  
joy  ,  Found out my wife girl-friend? pregnant.  
fear  ,  My boat running into another boat.  
danger  ,  Punished by a leader.  
sadness  ,  My teacher's death.  
disgust  ,  Saw a mate bribing the leader.  
shame  ,  Insulted by a woman in public.  
guilt  ,  Fight with my mate after a quarrel.  
